id,customer_id,date,credit_score
151806,41203,2025-01-01,Good
39906,17737,2025-01-01,Poor
9486,39876,2025-01-01,Poor
106002,39976,2025-01-01,Poor
45018,23689,2025-01-01,Poor
101454,24738,2025-01-02,Standard
82350,37237,2025-01-02,Standard
96690,26463,2025-01-02,Standard
115170,47559,2025-01-02,Poor
19998,19260,2025-01-02,Standard
123414,25908,2025-01-02,Standard
37602,14448,2025-01-02,Poor
78978,41616,2025-01-02,Standard
136410,11790,2025-01-02,Good
105174,6733,2025-01-02,Poor
105750,24539,2025-01-02,Standard
12018,17236,2025-01-02,Poor
6858,46765,2025-01-02,Poor
34854,38970,2025-01-02,Standard
68970,34492,2025-01-02,Good
142926,43798,2025-01-02,Good
75918,7821,2025-01-02,Good
29406,8414,2025-01-02,Poor
10614,32945,2025-01-02,Standard
54954,24105,2025-01-02,Good
114042,35491,2025-01-02,Standard
46482,38205,2025-01-02,Good
154974,1616,2025-01-02,Standard
26598,46443,2025-01-02,Standard
108990,10282,2025-01-02,Poor
43878,11991,2025-01-02,Poor
62850,2999,2025-01-02,Standard
89730,44631,2025-01-02,Poor
108834,32845,2025-01-02,Good
121998,25175,2025-01-02,Good
102522,45258,2025-01-02,Poor
11550,16844,2025-01-02,Standard
151470,1364,2025-01-02,Standard
111858,6897,2025-01-02,Poor
7662,7779,2025-01-02,Poor
16182,14665,2025-01-02,Poor
39930,7605,2025-01-02,Poor
89814,45715,2025-01-02,Poor
68814,41985,2025-01-02,Poor
56634,19921,2025-01-02,Good
129270,34235,2025-01-02,Poor
37170,17540,2025-01-02,Good
42714,10892,2025-01-02,Standard
36702,41590,2025-01-02,Standard
135354,41810,2025-01-02,Poor
27294,17882,2025-01-02,Standard
63594,19967,2025-01-02,Standard
130758,8966,2025-01-02,Standard
131634,45967,2025-01-02,Good
61926,31538,2025-01-02,Standard
125514,49669,2025-01-02,Standard
152154,41253,2025-01-02,Poor
134622,46831,2025-01-02,Standard
102966,22471,2025-01-02,Poor
129510,6346,2025-01-02,Standard
14274,12411,2025-01-02,Standard
18726,13142,2025-01-02,Good
30654,50327,2025-01-02,Poor
92022,6459,2025-01-02,Poor
130806,9510,2025-01-02,Standard
40782,30879,2025-01-02,Standard
116682,31405,2025-01-02,Standard
56670,19584,2025-01-02,Standard
48822,48208,2025-01-02,Standard
143670,6445,2025-01-02,Standard
62274,39558,2025-01-02,Poor
25086,13714,2025-01-03,Standard
33534,50081,2025-01-03,Poor
92034,34170,2025-01-03,Good
109770,11438,2025-01-03,Standard
91806,37156,2025-01-03,Poor
11094,26102,2025-01-03,Poor
123162,32691,2025-01-03,Poor
14898,4068,2025-01-03,Standard
97530,11557,2025-01-03,Standard
16050,6115,2025-01-03,Poor
75678,34875,2025-01-03,Poor
18054,15542,2025-01-03,Good
24750,47403,2025-01-03,Poor
61974,39770,2025-01-03,Standard
59118,13518,2025-01-03,Poor
119094,23612,2025-01-03,Standard
32838,4483,2025-01-03,Good
71550,45319,2025-01-03,Good
144750,34723,2025-01-03,Poor
82890,14560,2025-01-03,Good
140118,20996,2025-01-03,Poor
53502,16911,2025-01-03,Good
53562,30033,2025-01-03,Poor
103050,26960,2025-01-03,Standard
95082,34597,2025-01-03,Good
54270,9720,2025-01-03,Poor
131454,13449,2025-01-03,Standard
150570,45081,2025-01-03,Standard
134046,6216,2025-01-03,Standard
64362,44258,2025-01-03,Standard
43626,32983,2025-01-03,Standard
133542,7854,2025-01-03,Standard
91194,26668,2025-01-03,Poor
13230,11926,2025-01-03,Standard
6054,39828,2025-01-03,Standard
40146,18532,2025-01-03,Standard
136590,26079,2025-01-03,Standard
93150,17874,2025-01-03,Good
144726,4327,2025-01-03,Poor
45858,42404,2025-01-03,Standard
107310,22645,2025-01-03,Standard
124170,4612,2025-01-03,Poor
11214,6131,2025-01-03,Standard
11250,23985,2025-01-03,Good
126594,3788,2025-01-03,Poor
93390,27268,2025-01-03,Standard
51558,39244,2025-01-03,Standard
105390,36481,2025-01-03,Standard
74970,42516,2025-01-03,Poor
52806,46383,2025-01-03,Standard
92382,49590,2025-01-03,Standard
142026,21239,2025-01-03,Standard
24570,3201,2025-01-03,Standard
140430,13276,2025-01-03,Poor
18102,44273,2025-01-03,Standard
124698,11051,2025-01-03,Standard
114690,28173,2025-01-03,Standard
77874,46661,2025-01-03,Standard
19002,40556,2025-01-03,Standard
71406,28072,2025-01-03,Poor
99006,41268,2025-01-03,Standard
106542,11959,2025-01-03,Poor
47094,25709,2025-01-03,Standard
152454,41468,2025-01-03,Poor
92262,47124,2025-01-03,Standard
84078,38740,2025-01-03,Standard
88314,48478,2025-01-03,Good
60906,43075,2025-01-03,Standard
62490,50086,2025-01-03,Standard
149322,45571,2025-01-03,Standard
82806,19531,2025-01-03,Standard
72390,11399,2025-01-03,Standard
112638,12750,2025-01-03,Standard
18138,26725,2025-01-03,Good
10110,42336,2025-01-03,Good
135834,33654,2025-01-03,Standard
86262,27123,2025-01-03,Standard
117390,4161,2025-01-03,Standard
71226,20651,2025-01-03,Poor
18366,28738,2025-01-03,Standard
95190,40088,2025-01-03,Good
34134,12286,2025-01-03,Standard
89562,43224,2025-01-03,Poor
149274,46675,2025-01-03,Standard
40854,10509,2025-01-03,Standard
149934,18500,2025-01-03,Poor
99198,24778,2025-01-03,Standard
32226,14790,2025-01-03,Standard
43014,1150,2025-01-03,Poor
39942,36491,2025-01-03,Standard
42810,5518,2025-01-03,Standard
100938,38101,2025-01-03,Good
85554,29723,2025-01-03,Standard
83478,48960,2025-01-03,Standard
127134,2298,2025-01-03,Standard
85278,20370,2025-01-03,Standard
23562,21588,2025-01-04,Standard
70194,6174,2025-01-04,Standard
25890,26791,2025-01-04,Poor
15630,15510,2025-01-04,Poor
126810,33211,2025-01-04,Standard
125274,18453,2025-01-04,Good
28842,34234,2025-01-04,Good
75666,20693,2025-01-04,Standard
126402,42793,2025-01-04,Poor
98658,20678,2025-01-04,Good
63054,25770,2025-01-04,Good
130158,27843,2025-01-04,Poor
58038,31833,2025-01-04,Good
148050,41712,2025-01-04,Standard
132870,20808,2025-01-04,Standard
77010,19969,2025-01-04,Poor
91206,6622,2025-01-04,Standard
78126,21683,2025-01-04,Poor
62694,11370,2025-01-04,Poor
29886,17844,2025-01-04,Poor
144570,32448,2025-01-04,Poor
35574,10346,2025-01-04,Poor
103122,19765,2025-01-04,Good
106314,14231,2025-01-04,Poor
24762,19306,2025-01-04,Standard
54894,36780,2025-01-04,Standard
17766,15848,2025-01-04,Standard
33678,26700,2025-01-04,Standard
122478,9502,2025-01-04,Poor
47010,26555,2025-01-04,Poor
76542,28017,2025-01-04,Poor
48486,48738,2025-01-04,Poor
105594,18548,2025-01-04,Standard
72678,25393,2025-01-04,Standard
6654,7792,2025-01-04,Standard
63126,40591,2025-01-04,Good
77610,37599,2025-01-04,Poor
89202,38224,2025-01-04,Standard
7206,50103,2025-01-04,Poor
132462,18204,2025-01-04,Standard
121386,16746,2025-01-04,Poor
53442,13592,2025-01-04,Standard
77298,37080,2025-01-04,Poor
26562,50686,2025-01-04,Standard
112746,3182,2025-01-04,Standard
65142,6205,2025-01-04,Poor
148326,4775,2025-01-04,Standard
40590,17304,2025-01-04,Standard
138906,5148,2025-01-04,Standard
8814,48392,2025-01-04,Standard
70386,47099,2025-01-04,Poor
107706,36443,2025-01-04,Poor
68574,39939,2025-01-04,Poor
61950,37422,2025-01-04,Standard
149838,41677,2025-01-04,Good
55914,39415,2025-01-04,Good
145002,12081,2025-01-04,Standard
61050,24069,2025-01-04,Poor
105090,1235,2025-01-04,Poor
153414,47905,2025-01-04,Poor
82290,31110,2025-01-04,Poor
154806,13207,2025-01-04,Standard
106710,25083,2025-01-04,Standard
71526,18190,2025-01-04,Standard
30930,16012,2025-01-04,Good
21834,33756,2025-01-04,Standard
21570,50675,2025-01-04,Poor
88422,24389,2025-01-04,Good
120342,44472,2025-01-04,Poor
40818,7907,2025-01-04,Poor
15906,28465,2025-01-04,Standard
32466,31409,2025-01-04,Standard
141894,2412,2025-01-04,Poor
65010,21672,2025-01-04,Poor
60942,2064,2025-01-04,Standard
112542,22588,2025-01-04,Standard
42690,41457,2025-01-04,Standard
86094,31480,2025-01-04,Standard
85710,13891,2025-01-04,Standard
104070,30925,2025-01-04,Poor
18618,48040,2025-01-04,Standard
105930,49350,2025-01-04,Standard
89370,14369,2025-01-04,Standard
72450,34127,2025-01-04,Poor
46650,34827,2025-01-04,Poor
34314,40233,2025-01-04,Poor
83946,7641,2025-01-05,Good
64386,18530,2025-01-05,Standard
116502,5941,2025-01-05,Standard
110406,18798,2025-01-05,Standard
79518,46494,2025-01-05,Good
113802,33337,2025-01-05,Poor
65154,34240,2025-01-05,Standard
147834,8771,2025-01-05,Standard
105126,32365,2025-01-05,Standard
131286,13082,2025-01-05,Poor
7794,45698,2025-01-05,Good
147414,19944,2025-01-05,Standard
57534,26273,2025-01-05,Standard
23118,8564,2025-01-05,Standard
88386,15279,2025-01-05,Standard
145374,21702,2025-01-05,Standard
12138,29253,2025-01-05,Good
41250,33842,2025-01-05,Poor
82650,15610,2025-01-05,Standard
22590,20108,2025-01-05,Standard
100422,37702,2025-01-05,Standard
89442,19864,2025-01-05,Standard
146622,49510,2025-01-05,Standard
114414,39894,2025-01-05,Poor
48162,18692,2025-01-05,Standard
15834,17346,2025-01-05,Standard
92046,32988,2025-01-05,Standard
109950,7138,2025-01-05,Standard
137022,7134,2025-01-05,Standard
57414,39036,2025-01-05,Standard
141858,23925,2025-01-05,Good
131226,7375,2025-01-05,Standard
109650,25141,2025-01-05,Standard
127938,33993,2025-01-05,Poor
80418,19294,2025-01-05,Poor
102750,27844,2025-01-05,Poor
138954,48791,2025-01-05,Standard
9270,10359,2025-01-05,Poor
78486,38127,2025-01-05,Standard
9450,22225,2025-01-05,Good
132102,42120,2025-01-05,Standard
152718,37074,2025-01-05,Poor
79806,27175,2025-01-05,Standard
72198,32354,2025-01-05,Standard
26502,2015,2025-01-05,Poor
80670,26260,2025-01-05,Standard
39246,32809,2025-01-05,Good
130242,16690,2025-01-05,Poor
65082,23468,2025-01-05,Good
108162,2225,2025-01-05,Good
99174,13333,2025-01-05,Poor
68322,40994,2025-01-05,Standard
121686,49225,2025-01-05,Good
19110,47194,2025-01-05,Poor
70722,20229,2025-01-05,Poor
30102,12831,2025-01-05,Standard
10518,20243,2025-01-05,Standard
103170,42397,2025-01-05,Poor
9630,4426,2025-01-05,Standard
105258,27247,2025-01-05,Standard
120762,27872,2025-01-05,Poor
43950,14184,2025-01-05,Good
106638,37332,2025-01-05,Standard
76014,31284,2025-01-05,Standard
32418,13676,2025-01-05,Poor
130014,23502,2025-01-05,Good
42030,8440,2025-01-05,Standard
17658,14440,2025-01-05,Poor
93762,45731,2025-01-05,Poor
63150,3553,2025-01-05,Standard
65070,42605,2025-01-05,Poor
138714,34035,2025-01-05,Good
73254,26027,2025-01-06,Standard
20262,26188,2025-01-06,Standard
58278,36884,2025-01-06,Good
60234,25814,2025-01-06,Poor
5670,47249,2025-01-06,Standard
117294,43468,2025-01-06,Poor
36042,32729,2025-01-06,Standard
89838,25972,2025-01-06,Poor
140466,40807,2025-01-06,Good
78654,12157,2025-01-06,Standard
89130,40317,2025-01-06,Standard
73518,32258,2025-01-06,Standard
118794,6397,2025-01-06,Standard
49554,43474,2025-01-06,Standard
75966,21624,2025-01-06,Standard
112254,12248,2025-01-06,Good
9126,32251,2025-01-06,Poor
42330,32520,2025-01-06,Poor
150306,10964,2025-01-06,Standard
44922,32866,2025-01-06,Standard
123078,49220,2025-01-06,Standard
99534,19347,2025-01-06,Standard
58638,3335,2025-01-06,Standard
35322,27079,2025-01-06,Poor
79110,41593,2025-01-06,Standard
76230,9882,2025-01-06,Poor
143694,42019,2025-01-06,Good
41790,37666,2025-01-06,Good
63462,12808,2025-01-06,Good
150858,2649,2025-01-06,Poor
74850,38538,2025-01-06,Standard
58206,26165,2025-01-06,Standard
139890,38629,2025-01-06,Poor
65022,10856,2025-01-06,Standard
86106,38132,2025-01-06,Good
31482,23420,2025-01-06,Standard
153486,23286,2025-01-06,Good
12930,50645,2025-01-06,Poor
25242,26490,2025-01-06,Standard
150630,28661,2025-01-06,Good
98454,5784,2025-01-06,Poor
7710,25806,2025-01-06,Standard
121086,11360,2025-01-06,Good
19470,31960,2025-01-06,Good
138666,36089,2025-01-06,Standard
93882,7305,2025-01-06,Standard
18150,44231,2025-01-06,Standard
97890,29716,2025-01-06,Standard
112842,44920,2025-01-06,Poor
140946,25872,2025-01-06,Standard
44082,38490,2025-01-06,Standard
28854,7830,2025-01-06,Poor
143406,49082,2025-01-06,Standard
97662,22779,2025-01-06,Poor
62802,3049,2025-01-06,Poor
77514,16494,2025-01-06,Standard
146550,50300,2025-01-06,Good
28230,14302,2025-01-06,Poor
139746,7136,2025-01-06,Poor
111570,32023,2025-01-06,Standard
10902,21322,2025-01-06,Good
22962,11745,2025-01-06,Good
105558,10676,2025-01-06,Standard
39450,47144,2025-01-06,Poor
128178,45092,2025-01-06,Standard
134682,23460,2025-01-06,Standard
82518,19776,2025-01-06,Poor
29286,15959,2025-01-06,Poor
8154,18906,2025-01-06,Standard
17154,4182,2025-01-06,Poor
8034,18748,2025-01-06,Good
54606,17694,2025-01-06,Poor
19086,32690,2025-01-07,Standard
135642,40919,2025-01-07,Poor
28974,32172,2025-01-07,Standard
102318,15299,2025-01-07,Standard
62058,25831,2025-01-07,Standard
89034,2920,2025-01-07,Standard
71682,9645,2025-01-07,Poor
123942,8447,2025-01-07,Poor
105210,46672,2025-01-07,Poor
97074,26649,2025-01-07,Standard
102426,43969,2025-01-07,Standard
44106,37753,2025-01-07,Standard
17058,48148,2025-01-07,Poor
141558,31757,2025-01-07,Standard
74886,20751,2025-01-07,Standard
97758,28918,2025-01-07,Poor
8742,30673,2025-01-07,Standard
38682,6534,2025-01-07,Standard
94674,26908,2025-01-07,Standard
24378,12496,2025-01-07,Poor
6198,30150,2025-01-07,Good
130062,15888,2025-01-07,Poor
122058,17866,2025-01-07,Poor
41310,40621,2025-01-07,Standard
126786,48019,2025-01-07,Good
48546,10404,2025-01-07,Standard
11634,33924,2025-01-07,Standard
26046,36974,2025-01-07,Poor
25038,22862,2025-01-07,Poor
15858,31043,2025-01-07,Poor
71598,19734,2025-01-07,Standard
85998,7918,2025-01-07,Standard
113178,4693,2025-01-07,Standard
137814,10894,2025-01-07,Standard
134706,13291,2025-01-07,Standard
153954,48430,2025-01-07,Poor
105270,1899,2025-01-07,Standard
44562,16818,2025-01-07,Good
50286,49311,2025-01-07,Poor
49506,26755,2025-01-07,Good
67458,46888,2025-01-07,Poor
120078,11734,2025-01-07,Good
93426,32806,2025-01-07,Poor
131382,23561,2025-01-07,Poor
134502,38703,2025-01-07,Standard
105078,9253,2025-01-07,Poor
19626,30952,2025-01-07,Poor
46698,29066,2025-01-07,Poor
105006,5740,2025-01-07,Poor
144198,4251,2025-01-07,Standard
137526,49554,2025-01-07,Good
48774,24955,2025-01-07,Standard
6342,36631,2025-01-07,Poor
23646,3599,2025-01-07,Poor
49890,5142,2025-01-07,Standard
33246,29511,2025-01-07,Standard
141138,14515,2025-01-07,Poor
105726,25056,2025-01-07,Standard
100578,20111,2025-01-07,Poor
99138,32087,2025-01-07,Good
26550,47242,2025-01-07,Good
70422,25107,2025-01-07,Standard
131574,19860,2025-01-07,Standard
10758,15266,2025-01-07,Standard
84366,32503,2025-01-07,Poor
37074,20868,2025-01-07,Good
78666,6432,2025-01-07,Standard
57858,15186,2025-01-07,Standard
72618,48556,2025-01-08,Poor
81534,33807,2025-01-08,Good
33090,26176,2025-01-08,Poor
48570,15956,2025-01-08,Good
55926,5365,2025-01-08,Poor
54222,19961,2025-01-08,Poor
76314,29800,2025-01-08,Poor
32874,46233,2025-01-08,Standard
144630,16899,2025-01-08,Poor
119658,19510,2025-01-08,Standard
140862,11433,2025-01-08,Standard
135162,21452,2025-01-08,Standard
12030,44859,2025-01-08,Standard
115866,40183,2025-01-08,Standard
104994,28145,2025-01-08,Standard
69570,5040,2025-01-08,Standard
51210,37071,2025-01-08,Standard
138942,5973,2025-01-08,Standard
22230,28248,2025-01-08,Standard
36690,40107,2025-01-08,Standard
6234,2836,2025-01-08,Poor
155094,7582,2025-01-08,Standard
125694,4895,2025-01-08,Poor
95106,49159,2025-01-08,Good
48342,25800,2025-01-08,Standard
53526,11550,2025-01-08,Standard
112734,32410,2025-01-08,Standard
59610,16581,2025-01-08,Standard
137046,8370,2025-01-08,Standard
63426,6870,2025-01-08,Standard
93138,33560,2025-01-08,Standard
114606,41404,2025-01-08,Poor
29370,38510,2025-01-08,Poor
131238,33257,2025-01-08,Poor
17706,22839,2025-01-08,Poor
141018,39755,2025-01-08,Standard
88014,42957,2025-01-08,Standard
68274,43772,2025-01-08,Good
131166,34535,2025-01-08,Poor
74046,7868,2025-01-08,Good
119946,11292,2025-01-08,Standard
41094,6142,2025-01-08,Poor
52278,8242,2025-01-08,Poor
35610,15729,2025-01-08,Poor
85530,28480,2025-01-08,Good
26826,50957,2025-01-08,Poor
129306,29906,2025-01-08,Poor
146562,3514,2025-01-08,Poor
128346,8248,2025-01-08,Standard
115890,22056,2025-01-08,Poor
45114,26264,2025-01-08,Poor
52410,8695,2025-01-08,Good
111510,5007,2025-01-08,Standard
150978,37512,2025-01-08,Standard
23382,38196,2025-01-08,Standard
45894,40447,2025-01-08,Poor
33462,25375,2025-01-08,Standard
29874,15737,2025-01-08,Standard
54558,11262,2025-01-08,Good
32214,30404,2025-01-08,Poor
23142,46344,2025-01-08,Poor
57090,43790,2025-01-08,Standard
14598,1687,2025-01-08,Standard
6594,30944,2025-01-08,Standard
120882,45443,2025-01-08,Standard
23586,30012,2025-01-08,Poor
58122,27370,2025-01-08,Poor
124230,35652,2025-01-08,Standard
49938,16445,2025-01-08,Standard
16794,10419,2025-01-08,Poor
41322,28707,2025-01-08,Standard
110598,30335,2025-01-08,Standard
148530,12520,2025-01-08,Standard
108234,37414,2025-01-08,Poor
59814,11852,2025-01-08,Standard
52890,26377,2025-01-08,Standard
147978,25352,2025-01-08,Standard
116814,7099,2025-01-08,Standard
137838,45427,2025-01-08,Poor
150258,3386,2025-01-08,Standard
59790,46150,2025-01-08,Standard
129726,11494,2025-01-08,Standard
143610,24062,2025-01-08,Standard
48510,23506,2025-01-08,Poor
62514,3100,2025-01-09,Poor
151242,37792,2025-01-09,Poor
105114,35423,2025-01-09,Good
139350,5233,2025-01-09,Standard
10842,30617,2025-01-09,Standard
119502,50198,2025-01-09,Good
98574,45932,2025-01-09,Poor
132498,10379,2025-01-09,Good
25002,23674,2025-01-09,Standard
100110,23544,2025-01-09,Good
134058,26564,2025-01-09,Standard
34902,43579,2025-01-09,Standard
106026,47804,2025-01-09,Standard
116694,3774,2025-01-09,Standard
66378,19265,2025-01-09,Poor
84318,11340,2025-01-09,Poor
21894,47141,2025-01-09,Standard
22506,5112,2025-01-09,Good
105786,24131,2025-01-09,Poor
98610,16466,2025-01-09,Standard
137958,14394,2025-01-09,Standard
17286,12836,2025-01-09,Standard
32886,50495,2025-01-09,Standard
127194,7443,2025-01-09,Standard
138150,25368,2025-01-09,Poor
111498,31176,2025-01-09,Standard
8238,46270,2025-01-09,Standard
133182,3150,2025-01-09,Standard
118734,41716,2025-01-09,Standard
36966,43392,2025-01-09,Standard
112830,41088,2025-01-09,Standard
110382,38599,2025-01-09,Standard
101862,46000,2025-01-09,Good
113994,38058,2025-01-09,Poor
129654,34475,2025-01-09,Standard
75078,9993,2025-01-09,Standard
152466,28079,2025-01-09,Standard
36930,31160,2025-01-09,Poor
35778,22772,2025-01-09,Standard
148722,44722,2025-01-09,Poor
70686,27474,2025-01-09,Poor
99642,42512,2025-01-09,Standard
8574,43776,2025-01-09,Poor
110370,3671,2025-01-09,Poor
116226,13665,2025-01-09,Standard
24474,36677,2025-01-09,Standard
85302,16591,2025-01-09,Standard
52242,11314,2025-01-09,Poor
33762,10407,2025-01-09,Standard
150798,11067,2025-01-09,Standard
32490,29555,2025-01-09,Poor
138894,10292,2025-01-09,Good
113262,13680,2025-01-09,Standard
69138,35885,2025-01-09,Standard
35898,37190,2025-01-09,Standard
41934,49057,2025-01-09,Good
104838,46284,2025-01-09,Standard
95118,37997,2025-01-09,Standard
28386,8466,2025-01-09,Standard
25350,35963,2025-01-09,Poor
137190,38291,2025-01-09,Standard
34290,20305,2025-01-09,Poor
118074,4666,2025-01-09,Poor
94734,31523,2025-01-09,Standard
21054,10476,2025-01-09,Poor
93906,38185,2025-01-09,Standard
116586,23170,2025-01-09,Good
64446,18405,2025-01-09,Standard
114882,2331,2025-01-09,Standard
133086,10283,2025-01-09,Standard
120246,23878,2025-01-09,Standard
94830,39956,2025-01-09,Standard
132906,42426,2025-01-09,Poor
22758,26782,2025-01-09,Poor
133458,46453,2025-01-09,Standard
6846,25653,2025-01-09,Standard
36150,26143,2025-01-09,Standard
118686,16892,2025-01-09,Standard
91746,8196,2025-01-09,Good
109242,29360,2025-01-09,Good
118590,36907,2025-01-09,Standard
123666,47272,2025-01-10,Standard
91518,5907,2025-01-10,Poor
73614,18430,2025-01-10,Poor
25122,8585,2025-01-10,Standard
46266,3562,2025-01-10,Standard
106098,8364,2025-01-10,Standard
17550,26773,2025-01-10,Poor
65418,18097,2025-01-10,Standard
24426,41728,2025-01-10,Good
137346,19111,2025-01-10,Good
51786,44234,2025-01-10,Poor
154038,48920,2025-01-10,Poor
113514,7930,2025-01-10,Standard
42618,2674,2025-01-10,Poor
116946,34707,2025-01-10,Standard
66486,11290,2025-01-10,Standard
78402,9026,2025-01-10,Standard
116142,41917,2025-01-10,Standard
43554,32171,2025-01-10,Standard
42582,37741,2025-01-10,Standard
112002,48658,2025-01-10,Standard
54186,27104,2025-01-10,Poor
107154,3365,2025-01-10,Good
50154,49880,2025-01-10,Good
68058,3133,2025-01-10,Poor
103086,46282,2025-01-10,Poor
101250,38776,2025-01-10,Good
145902,5897,2025-01-10,Good
65526,6731,2025-01-10,Poor
110070,48897,2025-01-10,Poor
10782,9342,2025-01-10,Standard
142218,46557,2025-01-10,Good
152826,35327,2025-01-10,Standard
11262,1423,2025-01-10,Standard
51870,4640,2025-01-10,Standard
21774,2335,2025-01-10,Good
133866,38761,2025-01-10,Standard
146766,36524,2025-01-10,Poor
104778,35271,2025-01-10,Standard
107502,12967,2025-01-10,Poor
124998,26091,2025-01-10,Standard
71790,38268,2025-01-10,Standard
25938,42054,2025-01-10,Poor
110154,13931,2025-01-10,Standard
49782,45025,2025-01-10,Good
47574,4146,2025-01-10,Standard
128970,46360,2025-01-10,Poor
154842,6486,2025-01-10,Standard
15174,47364,2025-01-10,Poor
12666,38171,2025-01-10,Poor
89874,20939,2025-01-10,Good
53190,18660,2025-01-10,Standard
56862,13719,2025-01-10,Poor
152814,24112,2025-01-10,Standard
127038,30645,2025-01-10,Standard
107178,1132,2025-01-10,Good
68850,4949,2025-01-10,Poor
19770,38954,2025-01-10,Poor
74178,10274,2025-01-10,Good
148074,6383,2025-01-10,Poor
42174,19596,2025-01-10,Poor
6870,30840,2025-01-10,Standard
21798,14808,2025-01-10,Poor
44982,9433,2025-01-10,Standard
37494,44987,2025-01-10,Standard
65550,43886,2025-01-10,Poor
111918,6997,2025-01-10,Poor
118506,22515,2025-01-10,Standard
137454,47920,2025-01-10,Standard
36282,42708,2025-01-10,Good
112470,23823,2025-01-10,Poor
89886,17805,2025-01-10,Standard
84774,20961,2025-01-11,Standard
104310,14459,2025-01-11,Poor
18954,10869,2025-01-11,Standard
14802,50819,2025-01-11,Standard
144798,32554,2025-01-11,Good
15378,8032,2025-01-11,Standard
20766,9125,2025-01-11,Good
70662,11189,2025-01-11,Poor
54630,5789,2025-01-11,Standard
79062,35045,2025-01-11,Good
36546,22068,2025-01-11,Standard
79722,47617,2025-01-11,Standard
107382,25694,2025-01-11,Poor
107034,16674,2025-01-11,Poor
92730,21532,2025-01-11,Standard
96918,21921,2025-01-11,Standard
12570,3385,2025-01-11,Standard
97482,23137,2025-01-11,Poor
58650,45082,2025-01-11,Poor
47454,19629,2025-01-11,Poor
116994,23285,2025-01-11,Poor
110034,16776,2025-01-11,Standard
73182,34714,2025-01-11,Standard
52554,25229,2025-01-11,Poor
90654,11718,2025-01-11,Standard
6690,19184,2025-01-11,Standard
84738,9377,2025-01-11,Poor
134898,33987,2025-01-11,Poor
90090,7832,2025-01-11,Standard
41958,22020,2025-01-11,Poor
76290,18899,2025-01-11,Standard
152910,39098,2025-01-11,Standard
69438,4496,2025-01-11,Good
38538,30268,2025-01-11,Standard
55398,31743,2025-01-11,Poor
8646,16982,2025-01-11,Good
108318,35625,2025-01-11,Standard
88854,12490,2025-01-11,Standard
19386,43378,2025-01-11,Standard
104670,6643,2025-01-11,Poor
138582,30297,2025-01-11,Standard
155034,23917,2025-01-11,Standard
143886,19117,2025-01-11,Poor
109422,29744,2025-01-11,Standard
41058,28814,2025-01-11,Standard
87582,11283,2025-01-11,Poor
58482,36923,2025-01-11,Standard
85698,30365,2025-01-11,Poor
41814,30077,2025-01-11,Standard
12414,38676,2025-01-11,Poor
81690,13878,2025-01-11,Poor
120654,27156,2025-01-11,Standard
44130,29390,2025-01-11,Standard
98742,37960,2025-01-11,Standard
117954,22127,2025-01-11,Standard
37890,26030,2025-01-11,Standard
23826,9624,2025-01-11,Good
